  N levels =   24          CBMF=    21.408     SST=    6.57 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.111       3.020603     0.048    0.00       0.951
    950.0    -0.987       2.861505     0.051    0.00       1.418
    900.0    -4.758       2.037145     0.053    0.00       1.439
    850.0    -8.303       1.354210     0.056    0.00       1.515
    800.0   -11.936       0.854798     0.057    0.00       1.617
    750.0   -15.728       0.491198     0.059    0.00       1.592
    700.0   -19.791       0.244519     0.060    0.00       1.480
    650.0   -24.217       0.115295     0.061    0.00       1.322
    600.0   -29.070       0.054676     0.063    0.00       1.130
    550.0   -34.443       0.025502     0.066    0.00       0.782
    500.0   -40.486       0.019497     0.069    0.00       0.633
    450.0   -47.153       0.016600     0.073    0.00       0.596
    400.0   -54.471       0.014184     0.077    0.00       0.466
    350.0   -62.563       0.013668     0.085    0.00       0.413
    300.0   -71.168       0.004549     0.096    0.00       0.137
    250.0   -74.898       0.003086     0.117    0.00       0.046
    200.0   -73.458       0.001000     0.153    0.00       0.021
    150.0   -74.004       0.001000     0.202    0.00       0.002
    100.0   -72.159       0.001000     0.405    0.00      -0.002
     80.0   -68.721       0.001000     0.755    0.00      -0.011
     60.0   -60.992       0.001000     2.042    0.00      -0.030
     40.0   -50.716       0.001000     5.238    0.00      -0.056
     30.0   -42.462       0.001000     8.440    0.00      -0.077
     25.0   -26.086       0.001000    10.124    0.00      -0.118
