 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.111                  3.021                  0.636              
   950.000                 -0.987                  2.862                  0.806              
   900.000                 -4.758                  2.037                  0.734              
   850.000                 -8.303                  1.354                  0.650              
   800.000                -11.936                  0.855                  0.538              
   750.000                -15.728                  0.491                  0.395              
   700.000                -19.791                  0.245                  0.282              
   650.000                -24.217                  0.115                  0.214              
   600.000                -29.070                  0.055                  0.179              
   550.000                -34.443                  0.026                  0.155              
   500.000                -40.486                  0.019                  0.195              
   450.000                -47.153                  0.017                  0.325              
   400.000                -54.471                  0.014                  0.549              
   350.000                -62.563                  0.014                  0.898              
   300.000                -71.168                  0.005                  1.012              
   250.000                -74.898                  0.003                  1.000              
   200.000                -73.458                  0.001                  0.180              
   150.000                -74.004                  0.001                  0.146              
   100.000                -72.159                  0.001                  0.080              
    80.000                -68.721                  0.001                  0.042              
    60.000                -60.992                  0.001                  0.012              
    40.000                -50.716                  0.001                  0.003              
    30.000                -42.462                  0.001                  0.001              
    25.000                -26.086                  0.001                  0.000              
