  N levels =   24          CBMF=    16.974     SST=   11.70 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     8.755       4.675625     0.048    0.00       1.365
    950.0     4.653       4.514930     0.051    0.00       1.564
    900.0     1.181       3.425242     0.053    0.00       1.511
    850.0    -2.451       2.617604     0.056    0.00       1.478
    800.0    -5.841       1.666494     0.057    0.00       1.559
    750.0    -9.214       0.914476     0.059    0.00       1.586
    700.0   -12.958       0.475132     0.060    0.00       1.541
    650.0   -17.108       0.231960     0.061    0.00       1.420
    600.0   -21.739       0.110151     0.063    0.00       1.248
    550.0   -26.939       0.054922     0.066    0.00       1.060
    500.0   -32.800       0.032089     0.069    0.00       0.971
    450.0   -39.394       0.024015     0.073    0.00       1.012
    400.0   -46.773       0.022682     0.077    0.00       0.990
    350.0   -55.020       0.024741     0.085    0.00       0.811
    300.0   -64.267       0.012450     0.096    0.00       0.612
    250.0   -72.498       0.004469     0.117    0.00       0.291
    200.0   -69.839       0.001000     0.153    0.00       0.074
    150.0   -70.909       0.001000     0.202    0.00       0.004
    100.0   -70.528       0.001000     0.405    0.00      -0.017
     80.0   -68.302       0.001000     0.755    0.00      -0.032
     60.0   -62.148       0.001000     2.042    0.00      -0.073
     40.0   -53.938       0.001000     5.238    0.00      -0.128
     30.0   -48.034       0.001000     8.440    0.00      -0.168
     25.0   -37.726       0.001000    10.124    0.00      -0.236
