 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  8.755                  4.676                  0.701              
   950.000                  4.653                  4.515                  0.878              
   900.000                  1.181                  3.425                  0.739              
   850.000                 -2.451                  2.618                  0.682              
   800.000                 -5.841                  1.666                  0.591              
   750.000                 -9.214                  0.914                  0.472              
   700.000                -12.958                  0.475                  0.370              
   650.000                -17.108                  0.232                  0.291              
   600.000                -21.739                  0.110                  0.239              
   550.000                -26.939                  0.055                  0.222              
   500.000                -32.800                  0.032                  0.259              
   450.000                -39.394                  0.024                  0.386              
   400.000                -46.773                  0.023                  0.567              
   350.000                -55.020                  0.025                  0.701              
   300.000                -64.267                  0.012                  0.938              
   250.000                -72.498                  0.004                  1.022              
   200.000                -69.839                  0.001                  0.197              
   150.000                -70.909                  0.001                  0.127              
   100.000                -70.528                  0.001                  0.073              
    80.000                -68.302                  0.001                  0.047              
    60.000                -62.148                  0.001                  0.018              
    40.000                -53.938                  0.001                  0.005              
    30.000                -48.034                  0.001                  0.002              
    25.000                -37.726                  0.001                  0.001              
