 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.339                  3.083                  0.637              
   950.000                 -0.759                  2.924                  0.806              
   900.000                 -4.510                  2.090                  0.738              
   850.000                 -8.048                  1.393                  0.660              
   800.000                -11.678                  0.876                  0.546              
   750.000                -15.451                  0.484                  0.401              
   700.000                -19.454                  0.255                  0.291              
   650.000                -23.904                  0.134                  0.223              
   600.000                -28.790                  0.066                  0.190              
   550.000                -34.153                  0.027                  0.171              
   500.000                -40.185                  0.020                  0.212              
   450.000                -46.856                  0.018                  0.356              
   400.000                -54.177                  0.015                  0.595              
   350.000                -62.279                  0.014                  0.897              
   300.000                -70.894                  0.005                  1.011              
   250.000                -74.754                  0.003                  1.000              
   200.000                -73.152                  0.001                  0.180              
   150.000                -73.684                  0.001                  0.146              
   100.000                -71.928                  0.001                  0.082              
    80.000                -68.545                  0.001                  0.044              
    60.000                -60.844                  0.001                  0.013              
    40.000                -50.621                  0.001                  0.003              
    30.000                -42.405                  0.001                  0.001              
    25.000                -26.100                  0.001                  0.000              
