  N levels =   24          CBMF=    21.588     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.967       2.982908     0.048    0.00       1.013
    950.0    -1.131       2.823079     0.051    0.00       1.469
    900.0    -4.918       2.001741     0.053    0.00       1.496
    850.0    -8.476       1.337338     0.056    0.00       1.534
    800.0   -12.131       0.842592     0.057    0.00       1.611
    750.0   -15.903       0.467431     0.059    0.00       1.588
    700.0   -19.946       0.246378     0.060    0.00       1.499
    650.0   -24.413       0.120800     0.061    0.00       1.370
    600.0   -29.285       0.056871     0.063    0.00       1.194
    550.0   -34.653       0.024987     0.066    0.00       0.836
    500.0   -40.692       0.019200     0.069    0.00       0.706
    450.0   -47.355       0.016207     0.073    0.00       0.679
    400.0   -54.669       0.013841     0.077    0.00       0.586
    350.0   -62.753       0.012987     0.085    0.00       0.531
    300.0   -71.337       0.004450     0.096    0.00       0.237
    250.0   -74.972       0.003050     0.117    0.00       0.154
    200.0   -73.601       0.001000     0.153    0.00       0.084
    150.0   -74.156       0.001000     0.202    0.00       0.023
    100.0   -72.287       0.001000     0.405    0.00      -0.001
     80.0   -68.811       0.001000     0.755    0.00      -0.004
     60.0   -61.059       0.001000     2.042    0.00      -0.013
     40.0   -50.766       0.001000     5.238    0.00      -0.024
     30.0   -42.494       0.001000     8.440    0.00      -0.033
     25.0   -26.078       0.001000    10.124    0.00      -0.053
