 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.546                  3.630                  0.644              
   950.000                  1.462                  3.453                  0.813              
   900.000                 -2.260                  2.633                  0.748              
   850.000                 -5.735                  1.817                  0.677              
   800.000                 -9.307                  1.178                  0.558              
   750.000                -13.014                  0.654                  0.408              
   700.000                -16.907                  0.320                  0.294              
   650.000                -21.252                  0.155                  0.228              
   600.000                -26.125                  0.080                  0.194              
   550.000                -31.584                  0.048                  0.188              
   500.000                -37.621                  0.033                  0.235              
   450.000                -44.209                  0.024                  0.411              
   400.000                -51.432                  0.016                  0.698              
   350.000                -59.503                  0.013                  0.773              
   300.000                -68.445                  0.007                  1.010              
   250.000                -74.065                  0.004                  0.999              
   200.000                -72.580                  0.001                  0.171              
   150.000                -73.576                  0.001                  0.145              
   100.000                -72.730                  0.001                  0.091              
    80.000                -70.204                  0.001                  0.054              
    60.000                -63.803                  0.001                  0.018              
    40.000                -55.221                  0.001                  0.004              
    30.000                -48.825                  0.001                  0.002              
    25.000                -37.532                  0.001                  0.000              
