 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.967                  2.983                  0.655              
   950.000                 -1.131                  2.823                  0.831              
   900.000                 -4.917                  2.007                  0.740              
   850.000                 -8.470                  1.341                  0.656              
   800.000                -12.126                  0.852                  0.554              
   750.000                -15.927                  0.471                  0.428              
   700.000                -19.969                  0.221                  0.324              
   650.000                -24.369                  0.106                  0.258              
   600.000                -29.239                  0.059                  0.216              
   550.000                -34.642                  0.025                  0.181              
   500.000                -40.683                  0.019                  0.208              
   450.000                -47.350                  0.016                  0.298              
   400.000                -54.668                  0.014                  0.464              
   350.000                -62.757                  0.013                  0.833              
   300.000                -71.335                  0.004                  0.892              
   250.000                -74.973                  0.003                  0.935              
   200.000                -73.602                  0.001                  0.279              
   150.000                -74.157                  0.001                  0.225              
   100.000                -72.287                  0.001                  0.102              
    80.000                -68.811                  0.001                  0.034              
    60.000                -61.059                  0.001                  0.009              
    40.000                -50.766                  0.001                  0.002              
    30.000                -42.493                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
