 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.499                  3.611                  0.642              
   950.000                  1.415                  3.433                  0.810              
   900.000                 -2.303                  2.609                  0.749              
   850.000                 -5.767                  1.794                  0.679              
   800.000                 -9.332                  1.170                  0.559              
   750.000                -13.056                  0.669                  0.410              
   700.000                -16.976                  0.335                  0.295              
   650.000                -21.306                  0.162                  0.230              
   600.000                -26.164                  0.083                  0.197              
   550.000                -31.623                  0.049                  0.190              
   500.000                -37.686                  0.035                  0.234              
   450.000                -44.300                  0.025                  0.410              
   400.000                -51.535                  0.017                  0.698              
   350.000                -59.603                  0.013                  0.780              
   300.000                -68.539                  0.007                  1.008              
   250.000                -74.071                  0.004                  0.999              
   200.000                -72.622                  0.001                  0.174              
   150.000                -73.628                  0.001                  0.148              
   100.000                -72.764                  0.001                  0.093              
    80.000                -70.230                  0.001                  0.055              
    60.000                -63.824                  0.001                  0.018              
    40.000                -55.238                  0.001                  0.005              
    30.000                -48.835                  0.001                  0.002              
    25.000                -37.529                  0.001                  0.000              
