 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.431                  7.241                  0.698              
   950.000                 10.291                  7.033                  0.873              
   900.000                  7.291                  5.255                  0.740              
   850.000                  3.889                  4.037                  0.678              
   800.000                  0.517                  2.851                  0.586              
   750.000                 -2.880                  1.940                  0.495              
   700.000                 -6.135                  1.168                  0.369              
   650.000                 -9.611                  0.655                  0.269              
   600.000                -13.494                  0.357                  0.202              
   550.000                -18.035                  0.217                  0.171              
   500.000                -23.527                  0.190                  0.182              
   450.000                -30.198                  0.220                  0.247              
   400.000                -37.944                  0.187                  0.413              
   350.000                -46.409                  0.092                  0.691              
   300.000                -55.788                  0.038                  0.823              
   250.000                -66.193                  0.011                  0.998              
   200.000                -62.281                  0.001                  0.054              
   150.000                -63.809                  0.001                  0.044              
   100.000                -65.872                  0.001                  0.038              
    80.000                -66.603                  0.001                  0.033              
    60.000                -65.470                  0.001                  0.021              
    40.000                -64.933                  0.001                  0.012              
    30.000                -67.682                  0.001                  0.013              
    25.000                -77.306                  0.001                  0.047              
