 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.971                  2.984                  0.634              
   950.000                 -1.126                  2.824                  0.808              
   900.000                 -4.912                  2.005                  0.729              
   850.000                 -8.467                  1.339                  0.639              
   800.000                -12.121                  0.848                  0.530              
   750.000                -15.909                  0.482                  0.392              
   700.000                -19.976                  0.234                  0.277              
   650.000                -24.393                  0.109                  0.206              
   600.000                -29.250                  0.054                  0.166              
   550.000                -34.637                  0.025                  0.132              
   500.000                -40.681                  0.019                  0.167              
   450.000                -47.347                  0.016                  0.278              
   400.000                -54.664                  0.014                  0.483              
   350.000                -62.753                  0.013                  0.914              
   300.000                -71.331                  0.004                  1.001              
   250.000                -74.971                  0.003                  1.003              
   200.000                -73.601                  0.001                  0.186              
   150.000                -74.155                  0.001                  0.153              
   100.000                -72.286                  0.001                  0.079              
    80.000                -68.810                  0.001                  0.040              
    60.000                -61.058                  0.001                  0.011              
    40.000                -50.765                  0.001                  0.002              
    30.000                -42.493                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
