 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.725                  3.192                  0.684              
   950.000                 -0.374                  3.033                  0.857              
   900.000                 -4.102                  2.192                  0.754              
   850.000                 -7.633                  1.478                  0.687              
   800.000                -11.238                  0.934                  0.589              
   750.000                -14.983                  0.531                  0.468              
   700.000                -18.999                  0.267                  0.375              
   650.000                -23.410                  0.135                  0.309              
   600.000                -28.271                  0.064                  0.266              
   550.000                -33.631                  0.031                  0.244              
   500.000                -39.657                  0.022                  0.270              
   450.000                -46.319                  0.019                  0.376              
   400.000                -53.604                  0.015                  0.529              
   350.000                -61.668                  0.014                  0.669              
   300.000                -70.483                  0.005                  0.820              
   250.000                -74.446                  0.003                  0.919              
   200.000                -72.560                  0.001                  0.359              
   150.000                -73.047                  0.001                  0.214              
   100.000                -71.341                  0.001                  0.055              
    80.000                -68.054                  0.001                  0.030              
    60.000                -60.485                  0.001                  0.009              
    40.000                -50.361                  0.001                  0.002              
    30.000                -42.263                  0.001                  0.001              
    25.000                -26.135                  0.001                  0.000              
