  N levels =   24          CBMF=    20.464     SST=    7.96 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.849       3.413140     0.048    0.00       0.957
    950.0     0.763       3.238396     0.051    0.00       1.337
    900.0    -3.032       2.428238     0.053    0.00       1.384
    850.0    -6.552       1.667446     0.056    0.00       1.494
    800.0   -10.142       1.061804     0.057    0.00       1.630
    750.0   -13.836       0.561496     0.059    0.00       1.603
    700.0   -17.740       0.280340     0.060    0.00       1.469
    650.0   -22.129       0.132509     0.061    0.00       1.298
    600.0   -26.923       0.060163     0.063    0.00       1.082
    550.0   -32.319       0.030815     0.066    0.00       0.810
    500.0   -38.394       0.022541     0.069    0.00       0.650
    450.0   -45.071       0.019119     0.073    0.00       0.637
    400.0   -52.349       0.013740     0.077    0.00       0.480
    350.0   -60.440       0.010925     0.085    0.00       0.418
    300.0   -69.456       0.005970     0.096    0.00       0.139
    250.0   -74.159       0.003462     0.117    0.00       0.026
    200.0   -72.887       0.001000     0.153    0.00       0.007
    150.0   -73.924       0.001000     0.202    0.00       0.002
    100.0   -73.012       0.001000     0.405    0.00      -0.000
     80.0   -70.451       0.001000     0.755    0.00      -0.007
     60.0   -64.029       0.001000     2.042    0.00      -0.023
     40.0   -55.404       0.001000     5.238    0.00      -0.044
     30.0   -48.944       0.001000     8.440    0.00      -0.060
     25.0   -37.502       0.001000    10.124    0.00      -0.089
