 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.772                  3.382                  0.630              
   950.000                  0.683                  3.207                  0.796              
   900.000                 -3.151                  2.389                  0.749              
   850.000                 -6.696                  1.649                  0.666              
   800.000                -10.276                  1.040                  0.547              
   750.000                -13.922                  0.532                  0.394              
   700.000                -17.797                  0.297                  0.278              
   650.000                -22.199                  0.145                  0.211              
   600.000                -26.992                  0.090                  0.178              
   550.000                -32.380                  0.048                  0.164              
   500.000                -38.340                  0.023                  0.200              
   450.000                -45.018                  0.025                  0.352              
   400.000                -52.445                  0.027                  0.619              
   350.000                -60.691                  0.018                  0.777              
   300.000                -69.549                  0.006                  1.000              
   250.000                -74.192                  0.003                  0.999              
   200.000                -72.940                  0.001                  0.192              
   150.000                -73.974                  0.001                  0.163              
   100.000                -73.055                  0.001                  0.099              
    80.000                -70.487                  0.001                  0.057              
    60.000                -64.058                  0.001                  0.018              
    40.000                -55.425                  0.001                  0.004              
    30.000                -48.956                  0.001                  0.002              
    25.000                -37.499                  0.001                  0.000              
