  N levels =   24          CBMF=    21.611     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.965       2.982598     0.048    0.00       0.881
    950.0    -1.133       2.822872     0.051    0.00       1.424
    900.0    -4.918       2.006144     0.053    0.00       1.443
    850.0    -8.473       1.340232     0.056    0.00       1.513
    800.0   -12.128       0.850942     0.057    0.00       1.607
    750.0   -15.925       0.473689     0.059    0.00       1.589
    700.0   -19.974       0.224178     0.060    0.00       1.489
    650.0   -24.378       0.106258     0.061    0.00       1.346
    600.0   -29.244       0.057978     0.063    0.00       1.149
    550.0   -34.645       0.024668     0.066    0.00       0.735
    500.0   -40.687       0.019069     0.069    0.00       0.577
    450.0   -47.353       0.016123     0.073    0.00       0.518
    400.0   -54.671       0.013783     0.077    0.00       0.407
    350.0   -62.759       0.013324     0.085    0.00       0.385
    300.0   -71.337       0.004433     0.096    0.00       0.100
    250.0   -74.973       0.003049     0.117    0.00       0.036
    200.0   -73.604       0.001000     0.153    0.00       0.016
    150.0   -74.158       0.001000     0.202    0.00       0.003
    100.0   -72.288       0.001000     0.405    0.00      -0.000
     80.0   -68.812       0.001000     0.755    0.00      -0.004
     60.0   -61.060       0.001000     2.042    0.00      -0.013
     40.0   -50.767       0.001000     5.238    0.00      -0.024
     30.0   -42.494       0.001000     8.440    0.00      -0.033
     25.0   -26.078       0.001000    10.124    0.00      -0.054
