  N levels =   24          CBMF=     9.635     SST=   28.16 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    25.550      16.376945     0.048    0.00       1.985
    950.0    21.316      16.112219     0.051    0.00       1.246
    900.0    19.616      12.827976     0.053    0.00       1.852
    850.0    17.085      10.871083     0.056    0.00       1.713
    800.0    14.643       9.001210     0.057    0.00       1.797
    750.0    12.144       7.511034     0.059    0.00       1.806
    700.0     9.276       6.307341     0.060    0.00       1.811
    650.0     6.051       5.278988     0.061    0.00       1.812
    600.0     2.380       4.381488     0.063    0.00       1.811
    550.0    -1.861       3.446392     0.066    0.00       1.837
    500.0    -5.942       2.486164     0.069    0.00       1.923
    450.0   -10.825       1.774741     0.073    0.00       2.064
    400.0   -16.578       1.001841     0.077    0.00       2.165
    350.0   -23.486       0.449808     0.085    0.00       2.369
    300.0   -32.023       0.203859     0.096    0.00       2.071
    250.0   -42.622       0.106352     0.117    0.00       2.045
    200.0   -55.710       0.058783     0.153    0.00       1.482
    150.0   -69.786       0.008944     0.202    0.00       1.001
    100.0   -68.095       0.001000     0.405    0.00       0.075
     80.0   -62.172       0.001000     0.755    0.00      -0.110
     60.0   -54.146       0.001000     2.042    0.00      -0.190
     40.0   -45.074       0.001000     5.238    0.00      -0.281
     30.0   -38.664       0.001000     8.440    0.00      -0.345
     25.0   -26.991       0.001000    10.124    0.00      -0.461
