 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 10.903                  5.513                  0.673              
   950.000                  6.785                  5.341                  0.844              
   900.000                  3.502                  3.997                  0.731              
   850.000                 -0.024                  2.972                  0.672              
   800.000                 -3.598                  2.085                  0.569              
   750.000                 -6.884                  1.208                  0.414              
   700.000                -10.492                  0.654                  0.294              
   650.000                -14.456                  0.325                  0.213              
   600.000                -18.880                  0.151                  0.168              
   550.000                -23.877                  0.070                  0.158              
   500.000                -29.592                  0.037                  0.191              
   450.000                -36.135                  0.026                  0.305              
   400.000                -43.554                  0.022                  0.535              
   350.000                -51.884                  0.020                  0.676              
   300.000                -61.292                  0.019                  0.963              
   250.000                -70.838                  0.006                  1.000              
   200.000                -67.981                  0.001                  0.097              
   150.000                -69.271                  0.001                  0.083              
   100.000                -70.314                  0.001                  0.065              
    80.000                -70.136                  0.001                  0.051              
    60.000                -67.579                  0.001                  0.026              
    40.000                -64.395                  0.001                  0.011              
    30.000                -63.891                  0.001                  0.008              
    25.000                -66.605                  0.001                  0.009              
