 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.952                  4.415                  0.704              
   950.000                  3.859                  4.252                  0.882              
   900.000                  0.408                  3.143                  0.741              
   850.000                 -3.169                  2.354                  0.687              
   800.000                 -6.589                  1.568                  0.596              
   750.000                -10.129                  0.920                  0.483              
   700.000                -13.870                  0.499                  0.387              
   650.000                -18.129                  0.273                  0.314              
   600.000                -22.939                  0.151                  0.262              
   550.000                -28.338                  0.087                  0.246              
   500.000                -34.310                  0.052                  0.286              
   450.000                -40.858                  0.032                  0.409              
   400.000                -48.115                  0.021                  0.562              
   350.000                -56.269                  0.016                  0.700              
   300.000                -65.368                  0.011                  0.902              
   250.000                -72.859                  0.004                  1.036              
   200.000                -69.723                  0.001                  0.213              
   150.000                -70.327                  0.001                  0.120              
   100.000                -69.176                  0.001                  0.063              
    80.000                -66.126                  0.001                  0.039              
    60.000                -58.708                  0.001                  0.014              
    40.000                -48.923                  0.001                  0.004              
    30.000                -41.307                  0.001                  0.002              
    25.000                -26.375                  0.001                  0.000              
