 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 13.641                  6.890                  0.711              
   950.000                  9.507                  6.691                  0.890              
   900.000                  6.521                  4.948                  0.744              
   850.000                  3.128                  3.825                  0.690              
   800.000                 -0.287                  2.816                  0.614              
   750.000                 -3.315                  1.777                  0.537              
   700.000                 -6.687                  1.078                  0.432              
   650.000                -10.434                  0.622                  0.354              
   600.000                -14.702                  0.346                  0.308              
   550.000                -19.618                  0.190                  0.302              
   500.000                -25.264                  0.105                  0.337              
   450.000                -31.709                  0.063                  0.438              
   400.000                -39.049                  0.051                  0.633              
   350.000                -47.432                  0.075                  0.930              
   300.000                -57.009                  0.030                  1.051              
   250.000                -67.596                  0.009                  1.007              
   200.000                -67.497                  0.001                  0.209              
   150.000                -70.315                  0.001                  0.116              
   100.000                -71.564                  0.001                  0.089              
    80.000                -71.192                  0.001                  0.070              
    60.000                -67.938                  0.001                  0.039              
    40.000                -63.454                  0.001                  0.016              
    30.000                -61.670                  0.001                  0.010              
    25.000                -62.082                  0.001                  0.007              
