  N levels =   24          CBMF=    21.359     SST=    6.60 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.137       3.028384     0.048    0.00       1.275
    950.0    -0.961       2.869403     0.051    0.00       1.461
    900.0    -4.728       2.047274     0.053    0.00       1.571
    850.0    -8.270       1.365939     0.056    0.00       1.567
    800.0   -11.917       0.867077     0.057    0.00       1.641
    750.0   -15.723       0.474587     0.059    0.00       1.623
    700.0   -19.736       0.221053     0.060    0.00       1.551
    650.0   -24.126       0.114388     0.061    0.00       1.444
    600.0   -29.013       0.064098     0.063    0.00       1.306
    550.0   -34.411       0.025773     0.066    0.00       1.071
    500.0   -40.445       0.019555     0.069    0.00       0.987
    450.0   -47.113       0.016693     0.073    0.00       1.009
    400.0   -54.432       0.014266     0.077    0.00       0.928
    350.0   -62.528       0.013749     0.085    0.00       0.900
    300.0   -71.134       0.004574     0.096    0.00       0.612
    250.0   -74.870       0.003099     0.117    0.00       0.484
    200.0   -73.374       0.001000     0.153    0.00       0.300
    150.0   -73.890       0.001000     0.202    0.00       0.174
    100.0   -72.095       0.001000     0.405    0.00       0.019
     80.0   -68.662       0.001000     0.755    0.00      -0.007
     60.0   -60.953       0.001000     2.042    0.00      -0.020
     40.0   -50.696       0.001000     5.238    0.00      -0.037
     30.0   -42.450       0.001000     8.440    0.00      -0.051
     25.0   -26.089       0.001000    10.124    0.00      -0.079
