  N levels =   24          CBMF=    20.695     SST=    8.46 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.400       3.601978     0.048    0.00       1.049
    950.0     1.312       3.426267     0.051    0.00       1.379
    900.0    -2.482       2.605388     0.053    0.00       1.411
    850.0    -6.050       1.830028     0.056    0.00       1.476
    800.0    -9.608       1.083573     0.057    0.00       1.590
    750.0   -13.090       0.509149     0.059    0.00       1.552
    700.0   -16.937       0.262677     0.060    0.00       1.416
    650.0   -21.300       0.154451     0.061    0.00       1.262
    600.0   -26.133       0.071597     0.063    0.00       1.064
    550.0   -31.465       0.030400     0.066    0.00       0.850
    500.0   -37.414       0.022832     0.069    0.00       0.737
    450.0   -44.037       0.025422     0.073    0.00       0.722
    400.0   -51.379       0.042902     0.077    0.00       0.550
    350.0   -59.597       0.017451     0.085    0.00       0.492
    300.0   -68.535       0.006741     0.096    0.00       0.233
    250.0   -74.127       0.003479     0.117    0.00       0.124
    200.0   -72.536       0.001000     0.153    0.00       0.013
    150.0   -73.545       0.001000     0.202    0.00       0.004
    100.0   -72.346       0.001000     0.405    0.00      -0.008
     80.0   -69.202       0.001000     0.755    0.00      -0.039
     60.0   -61.265       0.001000     2.042    0.00      -0.119
     40.0   -50.644       0.001000     5.238    0.00      -0.225
     30.0   -42.289       0.001000     8.440    0.00      -0.309
     25.0   -26.067       0.001000    10.124    0.00      -0.471
