  N levels =   24          CBMF=    21.488     SST=    6.50 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.021       2.998597     0.048    0.00       1.199
    950.0    -1.076       2.839242     0.051    0.00       1.370
    900.0    -4.856       2.019228     0.053    0.00       1.522
    850.0    -8.410       1.350221     0.056    0.00       1.539
    800.0   -12.072       0.851085     0.057    0.00       1.629
    750.0   -15.853       0.441536     0.059    0.00       1.625
    700.0   -19.828       0.226262     0.060    0.00       1.559
    650.0   -24.284       0.124816     0.061    0.00       1.455
    600.0   -29.196       0.065518     0.063    0.00       1.314
    550.0   -34.585       0.025622     0.066    0.00       1.046
    500.0   -40.620       0.019681     0.069    0.00       0.949
    450.0   -47.285       0.016715     0.073    0.00       0.946
    400.0   -54.600       0.014252     0.077    0.00       0.883
    350.0   -62.687       0.013452     0.085    0.00       0.868
    300.0   -71.274       0.004492     0.096    0.00       0.607
    250.0   -74.956       0.003058     0.117    0.00       0.522
    200.0   -73.578       0.001000     0.153    0.00       0.357
    150.0   -74.132       0.001000     0.202    0.00       0.252
    100.0   -72.266       0.001000     0.405    0.00       0.076
     80.0   -68.791       0.001000     0.755    0.00      -0.004
     60.0   -61.041       0.001000     2.042    0.00      -0.015
     40.0   -50.751       0.001000     5.238    0.00      -0.028
     30.0   -42.484       0.001000     8.440    0.00      -0.038
     25.0   -26.081       0.001000    10.124    0.00      -0.059
