  N levels =   24          CBMF=    16.558     SST=   12.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.533       4.999951     0.048    0.00       1.764
    950.0     5.426       4.832312     0.051    0.00       1.321
    900.0     2.016       3.655845     0.053    0.00       1.672
    850.0    -1.607       2.846164     0.056    0.00       1.574
    800.0    -4.952       1.850314     0.057    0.00       1.650
    750.0    -8.262       1.043582     0.059    0.00       1.681
    700.0   -11.976       0.583776     0.060    0.00       1.686
    650.0   -16.059       0.299835     0.061    0.00       1.660
    600.0   -20.608       0.147447     0.063    0.00       1.617
    550.0   -25.714       0.075578     0.066    0.00       1.581
    500.0   -31.492       0.041981     0.069    0.00       1.602
    450.0   -38.049       0.033937     0.073    0.00       1.694
    400.0   -45.478       0.056617     0.077    0.00       1.745
    350.0   -53.876       0.041927     0.085    0.00       1.727
    300.0   -63.184       0.014473     0.096    0.00       1.533
    250.0   -71.667       0.005071     0.117    0.00       1.386
    200.0   -68.596       0.001000     0.153    0.00       0.936
    150.0   -68.765       0.001000     0.202    0.00       0.653
    100.0   -67.346       0.001000     0.405    0.00       0.186
     80.0   -64.465       0.001000     0.755    0.00      -0.025
     60.0   -57.434       0.001000     2.042    0.00      -0.052
     40.0   -48.054       0.001000     5.238    0.00      -0.084
     30.0   -40.797       0.001000     8.440    0.00      -0.108
     25.0   -26.510       0.001000    10.124    0.00      -0.155
