 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.533                  5.000                  0.760              
   950.000                  5.426                  4.832                  0.941              
   900.000                  2.016                  3.656                  0.796              
   850.000                 -1.607                  2.846                  0.754              
   800.000                 -4.952                  1.850                  0.694              
   750.000                 -8.262                  1.044                  0.628              
   700.000                -11.976                  0.584                  0.570              
   650.000                -16.059                  0.300                  0.520              
   600.000                -20.608                  0.147                  0.478              
   550.000                -25.714                  0.076                  0.451              
   500.000                -31.492                  0.042                  0.445              
   450.000                -38.049                  0.034                  0.469              
   400.000                -45.478                  0.057                  0.496              
   350.000                -53.876                  0.042                  0.530              
   300.000                -63.184                  0.014                  0.547              
   250.000                -71.667                  0.005                  0.662              
   200.000                -68.596                  0.001                  0.467              
   150.000                -68.765                  0.001                  0.429              
   100.000                -67.346                  0.001                  0.357              
    80.000                -64.465                  0.001                  0.034              
    60.000                -57.434                  0.001                  0.006              
    40.000                -48.054                  0.001                  0.002              
    30.000                -40.797                  0.001                  0.001              
    25.000                -26.510                  0.001                  0.000              
