  N levels =   24          CBMF=    19.389     SST=    8.48 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.446       3.584286     0.048    0.00       0.994
    950.0     1.362       3.404592     0.051    0.00       1.340
    900.0    -2.355       2.561117     0.053    0.00       1.384
    850.0    -5.796       1.746608     0.056    0.00       1.483
    800.0    -9.318       1.140946     0.057    0.00       1.613
    750.0   -13.019       0.704793     0.059    0.00       1.593
    700.0   -17.025       0.392243     0.060    0.00       1.451
    650.0   -21.373       0.200808     0.061    0.00       1.281
    600.0   -26.198       0.102967     0.063    0.00       1.067
    550.0   -31.626       0.060011     0.066    0.00       0.835
    500.0   -37.736       0.045105     0.069    0.00       0.704
    450.0   -44.406       0.034642     0.073    0.00       0.693
    400.0   -51.683       0.021202     0.077    0.00       0.541
    350.0   -59.743       0.014764     0.085    0.00       0.453
    300.0   -68.629       0.006539     0.096    0.00       0.184
    250.0   -74.091       0.003494     0.117    0.00       0.037
    200.0   -72.665       0.001000     0.153    0.00       0.012
    150.0   -73.671       0.001000     0.202    0.00       0.002
    100.0   -72.796       0.001000     0.405    0.00      -0.001
     80.0   -70.254       0.001000     0.755    0.00      -0.010
     60.0   -63.844       0.001000     2.042    0.00      -0.031
     40.0   -55.253       0.001000     5.238    0.00      -0.059
     30.0   -48.845       0.001000     8.440    0.00      -0.081
     25.0   -37.527       0.001000    10.124    0.00      -0.119
