 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 10.396                  5.273                  0.683              
   950.000                  6.281                  5.104                  0.857              
   900.000                  2.838                  3.919                  0.730              
   850.000                 -0.811                  3.058                  0.667              
   800.000                 -4.136                  1.965                  0.571              
   750.000                 -7.403                  1.110                  0.428              
   700.000                -10.965                  0.583                  0.311              
   650.000                -14.852                  0.285                  0.231              
   600.000                -19.226                  0.143                  0.187              
   550.000                -24.269                  0.088                  0.181              
   500.000                -30.157                  0.094                  0.224              
   450.000                -36.988                  0.145                  0.348              
   400.000                -44.672                  0.143                  0.612              
   350.000                -53.055                  0.038                  0.746              
   300.000                -62.307                  0.017                  0.944              
   250.000                -71.312                  0.005                  1.000              
   200.000                -68.483                  0.001                  0.120              
   150.000                -69.777                  0.001                  0.094              
   100.000                -70.713                  0.001                  0.074              
    80.000                -70.319                  0.001                  0.056              
    60.000                -67.241                  0.001                  0.028              
    40.000                -63.158                  0.001                  0.011              
    30.000                -61.643                  0.001                  0.007              
    25.000                -62.172                  0.001                  0.005              
