 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.625                  3.350                  0.623              
   950.000                  0.538                  3.177                  0.788              
   900.000                 -3.289                  2.368                  0.743              
   850.000                 -6.836                  1.627                  0.656              
   800.000                -10.442                  1.024                  0.538              
   750.000                -14.126                  0.514                  0.380              
   700.000                -17.996                  0.259                  0.265              
   650.000                -22.414                  0.126                  0.194              
   600.000                -27.255                  0.059                  0.159              
   550.000                -32.635                  0.027                  0.134              
   500.000                -38.668                  0.020                  0.160              
   450.000                -45.307                  0.017                  0.282              
   400.000                -52.579                  0.013                  0.509              
   350.000                -60.673                  0.011                  0.790              
   300.000                -69.697                  0.006                  0.999              
   250.000                -74.290                  0.003                  0.999              
   200.000                -73.108                  0.001                  0.190              
   150.000                -74.139                  0.001                  0.168              
   100.000                -73.186                  0.001                  0.100              
    80.000                -70.592                  0.001                  0.056              
    60.000                -64.142                  0.001                  0.017              
    40.000                -55.485                  0.001                  0.004              
    30.000                -48.994                  0.001                  0.001              
    25.000                -37.488                  0.001                  0.000              
