 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  6.739                  4.039                  0.702              
   950.000                  2.652                  3.858                  0.879              
   900.000                 -0.985                  3.032                  0.748              
   850.000                 -4.428                  2.140                  0.691              
   800.000                 -7.953                  1.402                  0.597              
   750.000                -11.586                  0.776                  0.482              
   700.000                -15.400                  0.381                  0.390              
   650.000                -19.716                  0.188                  0.322              
   600.000                -24.531                  0.095                  0.276              
   550.000                -29.887                  0.052                  0.256              
   500.000                -35.808                  0.033                  0.288              
   450.000                -42.349                  0.023                  0.402              
   400.000                -49.614                  0.017                  0.542              
   350.000                -57.746                  0.015                  0.654              
   300.000                -66.789                  0.009                  0.856              
   250.000                -73.377                  0.004                  1.032              
   200.000                -70.434                  0.001                  0.361              
   150.000                -70.808                  0.001                  0.113              
   100.000                -69.420                  0.001                  0.056              
    80.000                -66.353                  0.001                  0.034              
    60.000                -59.039                  0.001                  0.012              
    40.000                -49.265                  0.001                  0.003              
    30.000                -41.565                  0.001                  0.001              
    25.000                -26.320                  0.001                  0.000              
