  N levels =   24          CBMF=    12.877     SST=   17.15 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    14.332       7.351309     0.048    0.00       1.871
    950.0    10.193       7.138745     0.051    0.00       1.749
    900.0     7.355       5.210272     0.053    0.00       1.839
    850.0     4.094       4.007318     0.056    0.00       1.641
    800.0     0.796       3.005732     0.057    0.00       1.604
    750.0    -2.661       2.052597     0.059    0.00       1.580
    700.0    -5.805       1.224223     0.060    0.00       1.580
    650.0    -9.349       0.711708     0.061    0.00       1.578
    600.0   -13.411       0.410147     0.063    0.00       1.555
    550.0   -18.201       0.252212     0.066    0.00       1.517
    500.0   -23.880       0.179663     0.069    0.00       1.537
    450.0   -30.458       0.140485     0.073    0.00       1.668
    400.0   -37.864       0.110713     0.077    0.00       1.705
    350.0   -46.210       0.103328     0.085    0.00       1.611
    300.0   -55.669       0.030675     0.096    0.00       1.241
    250.0   -66.377       0.010593     0.117    0.00       1.047
    200.0   -69.051       0.001000     0.153    0.00       0.588
    150.0   -68.147       0.001000     0.202    0.00       0.151
    100.0   -66.289       0.001000     0.405    0.00      -0.062
     80.0   -63.358       0.001000     0.755    0.00      -0.065
     60.0   -56.207       0.001000     2.042    0.00      -0.113
     40.0   -46.874       0.001000     5.238    0.00      -0.175
     30.0   -39.955       0.001000     8.440    0.00      -0.221
     25.0   -26.719       0.001000    10.124    0.00      -0.309
