  N levels =   24          CBMF=    20.019     SST=    8.51 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.499       3.617171     0.048    0.00       0.967
    950.0     1.412       3.441329     0.051    0.00       1.319
    900.0    -2.345       2.628687     0.053    0.00       1.380
    850.0    -5.858       1.824829     0.056    0.00       1.479
    800.0    -9.445       1.164077     0.057    0.00       1.603
    750.0   -13.125       0.603773     0.059    0.00       1.582
    700.0   -16.974       0.271959     0.060    0.00       1.435
    650.0   -21.313       0.125601     0.061    0.00       1.262
    600.0   -26.160       0.062446     0.063    0.00       1.041
    550.0   -31.573       0.036500     0.066    0.00       0.800
    500.0   -37.560       0.025259     0.069    0.00       0.668
    450.0   -44.140       0.019922     0.073    0.00       0.660
    400.0   -51.384       0.014867     0.077    0.00       0.498
    350.0   -59.484       0.012905     0.085    0.00       0.435
    300.0   -68.457       0.006907     0.096    0.00       0.159
    250.0   -74.129       0.003477     0.117    0.00       0.046
    200.0   -72.771       0.001000     0.153    0.00      -0.002
    150.0   -73.814       0.001000     0.202    0.00       0.003
    100.0   -72.954       0.001000     0.405    0.00      -0.001
     80.0   -70.391       0.001000     0.755    0.00      -0.014
     60.0   -63.932       0.001000     2.042    0.00      -0.046
     40.0   -55.288       0.001000     5.238    0.00      -0.089
     30.0   -48.850       0.001000     8.440    0.00      -0.122
     25.0   -37.488       0.001000    10.124    0.00      -0.178
