 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.666                  7.527                  0.737              
   950.000                 10.525                  7.315                  0.919              
   900.000                  7.709                  5.372                  0.754              
   850.000                  4.452                  4.140                  0.697              
   800.000                  1.150                  3.071                  0.630              
   750.000                 -2.243                  2.102                  0.560              
   700.000                 -5.394                  1.261                  0.479              
   650.000                 -8.900                  0.728                  0.393              
   600.000                -12.919                  0.416                  0.331              
   550.000                -17.677                  0.256                  0.304              
   500.000                -23.337                  0.182                  0.325              
   450.000                -29.897                  0.138                  0.418              
   400.000                -37.262                  0.114                  0.564              
   350.000                -45.608                  0.081                  0.777              
   300.000                -55.099                  0.036                  1.066              
   250.000                -65.832                  0.012                  1.057              
   200.000                -68.781                  0.001                  0.311              
   150.000                -70.808                  0.001                  0.189              
   100.000                -71.423                  0.001                  0.090              
    80.000                -69.956                  0.001                  0.065              
    60.000                -64.007                  0.001                  0.030              
    40.000                -55.238                  0.001                  0.010              
    30.000                -48.630                  0.001                  0.005              
    25.000                -37.672                  0.001                  0.002              
