  N levels =   24          CBMF=     8.987     SST=   34.67 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    32.616      25.029757     0.048    0.00       1.901
    950.0    28.326      24.721039     0.051    0.00       0.589
    900.0    26.895      20.785763     0.053    0.00       1.587
    850.0    24.421      18.406536     0.056    0.00       1.594
    800.0    22.147      16.327343     0.057    0.00       1.830
    750.0    19.762      14.487330     0.059    0.00       1.947
    700.0    17.249      12.775125     0.060    0.00       2.013
    650.0    14.535      11.153768     0.061    0.00       2.024
    600.0    11.526       9.632443     0.063    0.00       2.008
    550.0     8.163       8.138299     0.066    0.00       2.010
    500.0     4.351       6.688059     0.069    0.00       2.070
    450.0     0.394       4.726125     0.073    0.00       2.192
    400.0    -4.747       3.409554     0.077    0.00       2.280
    350.0   -10.217       2.117211     0.085    0.00       2.441
    300.0   -16.908       1.101212     0.096    0.00       2.825
    250.0   -25.069       0.349246     0.117    0.00       2.602
    200.0   -37.026       0.229280     0.153    0.00       2.218
    150.0   -52.949       0.152544     0.202    0.00       1.754
    100.0   -70.303       0.015295     0.405    0.00       0.470
     80.0   -64.604       0.001000     0.755    0.00      -0.171
     60.0   -56.179       0.001000     2.042    0.00      -0.339
     40.0   -47.185       0.001000     5.238    0.00      -0.519
     30.0   -40.125       0.001000     8.440    0.00      -0.661
     25.0   -27.014       0.001000    10.124    0.00      -0.923
