  N levels =   24          CBMF=    17.904     SST=   10.92 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.900       4.354450     0.048    0.00       1.812
    950.0     3.803       4.177765     0.051    0.00       0.974
    900.0     0.250       3.064969     0.053    0.00       1.510
    850.0    -3.345       2.282490     0.056    0.00       1.424
    800.0    -6.698       1.466399     0.057    0.00       1.531
    750.0   -10.107       0.855429     0.059    0.00       1.596
    700.0   -13.794       0.537267     0.060    0.00       1.643
    650.0   -17.993       0.353846     0.061    0.00       1.677
    600.0   -22.715       0.224291     0.063    0.00       1.682
    550.0   -28.018       0.131752     0.066    0.00       1.690
    500.0   -34.053       0.109645     0.069    0.00       1.755
    450.0   -40.968       0.115296     0.073    0.00       1.890
    400.0   -48.450       0.064063     0.077    0.00       1.962
    350.0   -56.631       0.026827     0.085    0.00       1.784
    300.0   -65.556       0.010372     0.096    0.00       1.778
    250.0   -72.748       0.004303     0.117    0.00       1.487
    200.0   -69.422       0.001000     0.153    0.00       1.127
    150.0   -69.655       0.001000     0.202    0.00       0.603
    100.0   -68.270       0.001000     0.405    0.00       0.113
     80.0   -65.305       0.001000     0.755    0.00      -0.012
     60.0   -58.194       0.001000     2.042    0.00      -0.037
     40.0   -48.658       0.001000     5.238    0.00      -0.061
     30.0   -41.192       0.001000     8.440    0.00      -0.080
     25.0   -26.412       0.001000    10.124    0.00      -0.116
