 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 17.509                  9.404                  0.779              
   950.000                 13.346                  9.176                  0.963              
   900.000                 10.897                  6.826                  0.806              
   850.000                  7.860                  5.394                  0.762              
   800.000                  4.770                  4.139                  0.706              
   750.000                  1.561                  3.105                  0.657              
   700.000                 -1.896                  2.186                  0.620              
   650.000                 -5.168                  1.393                  0.582              
   600.000                 -8.838                  0.856                  0.536              
   550.000                -13.149                  0.530                  0.502              
   500.000                -18.358                  0.356                  0.487              
   450.000                -24.618                  0.267                  0.480              
   400.000                -31.916                  0.224                  0.444              
   350.000                -40.200                  0.135                  0.408              
   300.000                -49.628                  0.067                  0.412              
   250.000                -60.516                  0.025                  0.597              
   200.000                -70.060                  0.004                  0.766              
   150.000                -67.902                  0.001                  0.620              
   100.000                -65.566                  0.001                  0.293              
    80.000                -62.415                  0.001                  0.029              
    60.000                -55.307                  0.001                  0.010              
    40.000                -46.138                  0.001                  0.003              
    30.000                -39.458                  0.001                  0.001              
    25.000                -26.844                  0.001                  0.000              
