  N levels =   24          CBMF=    21.199     SST=    7.78 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.628       3.343570     0.048    0.00       0.893
    950.0     0.540       3.169541     0.051    0.00       1.331
    900.0    -3.308       2.360736     0.053    0.00       1.379
    850.0    -6.871       1.634205     0.056    0.00       1.503
    800.0   -10.477       1.029752     0.057    0.00       1.641
    750.0   -14.139       0.514738     0.059    0.00       1.600
    700.0   -18.014       0.278233     0.060    0.00       1.495
    650.0   -22.447       0.122753     0.061    0.00       1.323
    600.0   -27.211       0.065512     0.063    0.00       1.118
    550.0   -32.562       0.034172     0.066    0.00       0.769
    500.0   -38.555       0.018884     0.069    0.00       0.565
    450.0   -45.198       0.019066     0.073    0.00       0.543
    400.0   -52.556       0.020454     0.077    0.00       0.384
    350.0   -60.766       0.017197     0.085    0.00       0.367
    300.0   -69.699       0.005675     0.096    0.00       0.076
    250.0   -74.280       0.003396     0.117    0.00       0.018
    200.0   -73.086       0.001000     0.153    0.00       0.000
    150.0   -74.119       0.001000     0.202    0.00       0.002
    100.0   -73.171       0.001000     0.405    0.00       0.000
     80.0   -70.579       0.001000     0.755    0.00      -0.005
     60.0   -64.131       0.001000     2.042    0.00      -0.018
     40.0   -55.477       0.001000     5.238    0.00      -0.035
     30.0   -48.986       0.001000     8.440    0.00      -0.048
     25.0   -37.476       0.001000    10.124    0.00      -0.071
