  N levels =   24          CBMF=    16.291     SST=   12.06 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.182       4.805487     0.048    0.00       1.017
    950.0     5.078       4.645038     0.051    0.00       1.282
    900.0     1.634       3.520754     0.053    0.00       1.295
    850.0    -1.986       2.699568     0.056    0.00       1.396
    800.0    -5.370       1.751217     0.057    0.00       1.575
    750.0    -8.759       0.994388     0.059    0.00       1.610
    700.0   -12.478       0.531764     0.060    0.00       1.523
    650.0   -16.652       0.274397     0.061    0.00       1.357
    600.0   -21.346       0.139519     0.063    0.00       1.155
    550.0   -26.610       0.072388     0.066    0.00       0.915
    500.0   -32.492       0.040369     0.069    0.00       0.777
    450.0   -39.057       0.026424     0.073    0.00       0.754
    400.0   -46.402       0.021270     0.077    0.00       0.689
    350.0   -54.612       0.018387     0.085    0.00       0.511
    300.0   -63.829       0.012950     0.096    0.00       0.350
    250.0   -72.440       0.004506     0.117    0.00       0.022
    200.0   -69.954       0.001000     0.153    0.00       0.011
    150.0   -71.178       0.001000     0.202    0.00      -0.003
    100.0   -71.784       0.001000     0.405    0.00      -0.002
     80.0   -71.047       0.001000     0.755    0.00      -0.003
     60.0   -67.472       0.001000     2.042    0.00      -0.009
     40.0   -62.657       0.001000     5.238    0.00      -0.017
     30.0   -60.382       0.001000     8.440    0.00      -0.021
     25.0   -59.247       0.001000    10.124    0.00      -0.024
