 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.969                  2.983                  0.630              
   950.000                 -1.128                  2.824                  0.803              
   900.000                 -4.914                  2.004                  0.728              
   850.000                 -8.468                  1.339                  0.637              
   800.000                -12.122                  0.850                  0.527              
   750.000                -15.915                  0.485                  0.387              
   700.000                -19.985                  0.232                  0.272              
   650.000                -24.392                  0.107                  0.202              
   600.000                -29.249                  0.056                  0.164              
   550.000                -34.641                  0.025                  0.131              
   500.000                -40.684                  0.019                  0.167              
   450.000                -47.350                  0.016                  0.280              
   400.000                -54.667                  0.014                  0.488              
   350.000                -62.755                  0.013                  0.934              
   300.000                -71.334                  0.004                  1.007              
   250.000                -74.972                  0.003                  1.001              
   200.000                -73.602                  0.001                  0.190              
   150.000                -74.156                  0.001                  0.154              
   100.000                -72.287                  0.001                  0.081              
    80.000                -68.811                  0.001                  0.041              
    60.000                -61.058                  0.001                  0.011              
    40.000                -50.766                  0.001                  0.002              
    30.000                -42.493                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
