  N levels =   24          CBMF=    12.815     SST=   17.54 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    14.722       7.590501     0.048    0.00       1.806
    950.0    10.581       7.374801     0.051    0.00       1.802
    900.0     7.780       5.417497     0.053    0.00       1.776
    850.0     4.525       4.188571     0.056    0.00       1.582
    800.0     1.243       3.091172     0.057    0.00       1.526
    750.0    -2.090       2.127407     0.059    0.00       1.508
    700.0    -5.259       1.303873     0.060    0.00       1.516
    650.0    -8.774       0.765130     0.061    0.00       1.510
    600.0   -12.806       0.442956     0.063    0.00       1.476
    550.0   -17.557       0.268749     0.066    0.00       1.425
    500.0   -23.168       0.184796     0.069    0.00       1.441
    450.0   -29.696       0.160620     0.073    0.00       1.552
    400.0   -37.163       0.175081     0.077    0.00       1.509
    350.0   -45.537       0.075887     0.085    0.00       1.346
    300.0   -54.934       0.030635     0.096    0.00       1.072
    250.0   -65.695       0.012112     0.117    0.00       0.816
    200.0   -69.559       0.001104     0.153    0.00       0.330
    150.0   -68.673       0.001000     0.202    0.00       0.053
    100.0   -67.386       0.001000     0.405    0.00      -0.058
     80.0   -64.702       0.001000     0.755    0.00      -0.085
     60.0   -57.209       0.001000     2.042    0.00      -0.159
     40.0   -47.388       0.001000     5.238    0.00      -0.258
     30.0   -40.167       0.001000     8.440    0.00      -0.330
     25.0   -26.618       0.001000    10.124    0.00      -0.465
