  N levels =   24          CBMF=    21.417     SST=    6.57 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.110       3.020165     0.048    0.00       1.247
    950.0    -0.988       2.861059     0.051    0.00       1.483
    900.0    -4.760       2.036314     0.053    0.00       1.569
    850.0    -8.304       1.356068     0.056    0.00       1.567
    800.0   -11.942       0.858371     0.057    0.00       1.637
    750.0   -15.738       0.494246     0.059    0.00       1.616
    700.0   -19.804       0.240205     0.060    0.00       1.539
    650.0   -24.212       0.111522     0.061    0.00       1.427
    600.0   -29.063       0.057883     0.063    0.00       1.285
    550.0   -34.448       0.025561     0.066    0.00       1.037
    500.0   -40.487       0.019524     0.069    0.00       0.946
    450.0   -47.154       0.016626     0.073    0.00       0.956
    400.0   -54.470       0.014223     0.077    0.00       0.867
    350.0   -62.561       0.013351     0.085    0.00       0.846
    300.0   -71.168       0.004562     0.096    0.00       0.559
    250.0   -74.891       0.003089     0.117    0.00       0.401
    200.0   -73.437       0.001000     0.153    0.00       0.253
    150.0   -73.958       0.001000     0.202    0.00       0.133
    100.0   -72.137       0.001000     0.405    0.00       0.009
     80.0   -68.697       0.001000     0.755    0.00      -0.007
     60.0   -60.982       0.001000     2.042    0.00      -0.020
     40.0   -50.712       0.001000     5.238    0.00      -0.037
     30.0   -42.459       0.001000     8.440    0.00      -0.051
     25.0   -26.087       0.001000    10.124    0.00      -0.079
