  N levels =   24          CBMF=    21.591     SST=    6.46 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.973       2.984463     0.048    0.00       0.849
    950.0    -1.125       2.824657     0.051    0.00       1.398
    900.0    -4.911       2.004441     0.053    0.00       1.426
    850.0    -8.467       1.338399     0.056    0.00       1.507
    800.0   -12.120       0.844772     0.057    0.00       1.607
    750.0   -15.897       0.474159     0.059    0.00       1.582
    700.0   -19.953       0.241782     0.060    0.00       1.476
    650.0   -24.401       0.116187     0.061    0.00       1.328
    600.0   -29.265       0.053757     0.063    0.00       1.134
    550.0   -34.637       0.024727     0.066    0.00       0.719
    500.0   -40.681       0.019120     0.069    0.00       0.554
    450.0   -47.347       0.016157     0.073    0.00       0.491
    400.0   -54.663       0.013800     0.077    0.00       0.369
    350.0   -62.751       0.013342     0.085    0.00       0.356
    300.0   -71.330       0.004437     0.096    0.00       0.065
    250.0   -74.971       0.003051     0.117    0.00       0.025
    200.0   -73.600       0.001000     0.153    0.00       0.008
    150.0   -74.155       0.001000     0.202    0.00       0.002
    100.0   -72.285       0.001000     0.405    0.00      -0.001
     80.0   -68.809       0.001000     0.755    0.00      -0.007
     60.0   -61.057       0.001000     2.042    0.00      -0.020
     40.0   -50.765       0.001000     5.238    0.00      -0.037
     30.0   -42.492       0.001000     8.440    0.00      -0.050
     25.0   -26.078       0.001000    10.124    0.00      -0.080
