  N levels =   24          CBMF=    19.928     SST=    9.62 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     6.711       4.002680     0.048    0.00       1.181
    950.0     2.618       3.819660     0.051    0.00       1.449
    900.0    -1.113       2.961712     0.053    0.00       1.439
    850.0    -4.641       2.107738     0.056    0.00       1.478
    800.0    -8.101       1.257595     0.057    0.00       1.596
    750.0   -11.478       0.641300     0.059    0.00       1.603
    700.0   -15.284       0.348149     0.060    0.00       1.506
    650.0   -19.522       0.212785     0.061    0.00       1.348
    600.0   -24.294       0.131460     0.063    0.00       1.147
    550.0   -29.603       0.077423     0.066    0.00       0.942
    500.0   -35.545       0.047112     0.069    0.00       0.846
    450.0   -42.300       0.095402     0.073    0.00       0.865
    400.0   -49.787       0.077255     0.077    0.00       0.777
    350.0   -58.001       0.020430     0.085    0.00       0.616
    300.0   -66.925       0.008522     0.096    0.00       0.412
    250.0   -73.526       0.003813     0.117    0.00       0.123
    200.0   -71.409       0.001000     0.153    0.00       0.049
    150.0   -72.360       0.001000     0.202    0.00      -0.004
    100.0   -71.716       0.001000     0.405    0.00      -0.007
     80.0   -69.367       0.001000     0.755    0.00      -0.019
     60.0   -63.114       0.001000     2.042    0.00      -0.050
     40.0   -54.717       0.001000     5.238    0.00      -0.092
     30.0   -48.521       0.001000     8.440    0.00      -0.123
     25.0   -37.606       0.001000    10.124    0.00      -0.178
