 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 11.093                  5.702                  0.706              
   950.000                  6.978                  5.504                  0.885              
   900.000                  3.802                  3.951                  0.734              
   850.000                  0.376                  2.898                  0.676              
   800.000                 -3.018                  1.983                  0.604              
   750.000                 -6.106                  1.147                  0.498              
   700.000                 -9.582                  0.649                  0.402              
   650.000                -13.500                  0.367                  0.340              
   600.000                -18.025                  0.226                  0.316              
   550.000                -23.285                  0.170                  0.341              
   500.000                -29.328                  0.154                  0.429              
   450.000                -36.070                  0.129                  0.605              
   400.000                -43.475                  0.081                  0.802              
   350.000                -51.738                  0.047                  1.053              
   300.000                -61.030                  0.019                  1.108              
   250.000                -70.730                  0.006                  1.009              
   200.000                -69.192                  0.001                  0.221              
   150.000                -71.934                  0.001                  0.134              
   100.000                -72.019                  0.001                  0.094              
    80.000                -69.955                  0.001                  0.065              
    60.000                -62.976                  0.001                  0.029              
    40.000                -52.356                  0.001                  0.009              
    30.000                -43.384                  0.001                  0.004              
    25.000                -26.266                  0.001                  0.001              
