  N levels =   24          CBMF=    21.256     SST=    6.67 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.223       3.050516     0.048    0.00       0.924
    950.0    -0.875       2.891767     0.051    0.00       1.393
    900.0    -4.636       2.063104     0.053    0.00       1.423
    850.0    -8.176       1.372655     0.056    0.00       1.508
    800.0   -11.807       0.865880     0.057    0.00       1.613
    750.0   -15.592       0.494291     0.059    0.00       1.578
    700.0   -19.637       0.249843     0.060    0.00       1.468
    650.0   -24.068       0.121400     0.061    0.00       1.310
    600.0   -28.932       0.057191     0.063    0.00       1.120
    550.0   -34.299       0.026243     0.066    0.00       0.773
    500.0   -40.340       0.020206     0.069    0.00       0.611
    450.0   -47.008       0.017343     0.073    0.00       0.570
    400.0   -54.326       0.014880     0.077    0.00       0.425
    350.0   -62.419       0.013614     0.085    0.00       0.401
    300.0   -71.032       0.004643     0.096    0.00       0.109
    250.0   -74.838       0.003115     0.117    0.00       0.046
    200.0   -73.345       0.001000     0.153    0.00       0.011
    150.0   -73.927       0.001000     0.202    0.00       0.002
    100.0   -72.100       0.001000     0.405    0.00      -0.004
     80.0   -68.655       0.001000     0.755    0.00      -0.015
     60.0   -60.941       0.001000     2.042    0.00      -0.041
     40.0   -50.680       0.001000     5.238    0.00      -0.075
     30.0   -42.439       0.001000     8.440    0.00      -0.102
     25.0   -26.092       0.001000    10.124    0.00      -0.157
