  N levels =   24          CBMF=    15.824     SST=   13.60 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    10.804       5.447824     0.048    0.00       1.081
    950.0     6.687       5.276919     0.051    0.00       1.299
    900.0     3.303       4.029174     0.053    0.00       1.300
    850.0    -0.313       3.155895     0.056    0.00       1.363
    800.0    -3.603       2.050270     0.057    0.00       1.541
    750.0    -6.846       1.162817     0.059    0.00       1.621
    700.0   -10.415       0.617014     0.060    0.00       1.551
    650.0   -14.335       0.305760     0.061    0.00       1.365
    600.0   -18.735       0.149628     0.063    0.00       1.118
    550.0   -23.764       0.083232     0.066    0.00       0.895
    500.0   -29.591       0.076491     0.069    0.00       0.794
    450.0   -36.353       0.117385     0.073    0.00       0.807
    400.0   -43.998       0.109347     0.077    0.00       0.837
    350.0   -52.387       0.049931     0.085    0.00       0.566
    300.0   -61.697       0.017491     0.096    0.00       0.454
    250.0   -70.899       0.005709     0.117    0.00       0.065
    200.0   -67.983       0.001000     0.153    0.00       0.011
    150.0   -69.252       0.001000     0.202    0.00      -0.010
    100.0   -70.288       0.001000     0.405    0.00      -0.007
     80.0   -70.114       0.001000     0.755    0.00      -0.008
     60.0   -67.566       0.001000     2.042    0.00      -0.014
     40.0   -64.390       0.001000     5.238    0.00      -0.022
     30.0   -63.888       0.001000     8.440    0.00      -0.023
     25.0   -66.607       0.001000    10.124    0.00      -0.017
