  N levels =   24          CBMF=    15.428     SST=   13.41 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    10.523       5.414669     0.048    0.00       1.763
    950.0     6.411       5.233180     0.051    0.00       1.707
    900.0     3.118       3.896405     0.053    0.00       1.784
    850.0    -0.402       3.010996     0.056    0.00       1.627
    800.0    -3.629       2.043259     0.057    0.00       1.623
    750.0    -6.931       1.224289     0.059    0.00       1.608
    700.0   -10.401       0.691656     0.060    0.00       1.583
    650.0   -14.442       0.406262     0.061    0.00       1.534
    600.0   -19.086       0.248660     0.063    0.00       1.464
    550.0   -24.419       0.161005     0.066    0.00       1.401
    500.0   -30.408       0.099866     0.069    0.00       1.430
    450.0   -36.987       0.054214     0.073    0.00       1.542
    400.0   -44.295       0.030280     0.077    0.00       1.569
    350.0   -52.522       0.019816     0.085    0.00       1.445
    300.0   -61.870       0.017669     0.096    0.00       1.133
    250.0   -71.023       0.005590     0.117    0.00       0.877
    200.0   -68.562       0.001000     0.153    0.00       0.484
    150.0   -68.670       0.001000     0.202    0.00       0.146
    100.0   -67.187       0.001000     0.405    0.00      -0.037
     80.0   -64.278       0.001000     0.755    0.00      -0.044
     60.0   -57.198       0.001000     2.042    0.00      -0.080
     40.0   -47.797       0.001000     5.238    0.00      -0.127
     30.0   -40.611       0.001000     8.440    0.00      -0.163
     25.0   -26.556       0.001000    10.124    0.00      -0.233
