  N levels =   24          CBMF=    20.952     SST=    7.15 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.774       3.198306     0.048    0.00       0.996
    950.0    -0.326       3.039157     0.051    0.00       1.391
    900.0    -4.065       2.199737     0.053    0.00       1.416
    850.0    -7.600       1.487564     0.056    0.00       1.503
    800.0   -11.201       0.936249     0.057    0.00       1.618
    750.0   -14.927       0.516033     0.059    0.00       1.574
    700.0   -18.908       0.276839     0.060    0.00       1.460
    650.0   -23.345       0.145859     0.061    0.00       1.292
    600.0   -28.217       0.071998     0.063    0.00       1.100
    550.0   -33.554       0.032368     0.066    0.00       0.822
    500.0   -39.560       0.021871     0.069    0.00       0.668
    450.0   -46.245       0.019254     0.073    0.00       0.642
    400.0   -53.573       0.016222     0.077    0.00       0.484
    350.0   -61.659       0.014456     0.085    0.00       0.438
    300.0   -70.476       0.005061     0.096    0.00       0.156
    250.0   -74.525       0.003270     0.117    0.00       0.067
    200.0   -72.888       0.001000     0.153    0.00       0.014
    150.0   -73.534       0.001000     0.202    0.00       0.002
    100.0   -71.811       0.001000     0.405    0.00      -0.007
     80.0   -68.408       0.001000     0.755    0.00      -0.024
     60.0   -60.693       0.001000     2.042    0.00      -0.062
     40.0   -50.480       0.001000     5.238    0.00      -0.113
     30.0   -42.309       0.001000     8.440    0.00      -0.154
     25.0   -26.116       0.001000    10.124    0.00      -0.235
