 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.407                  4.930                  0.687              
   950.000                  5.303                  4.754                  0.864              
   900.000                  1.858                  3.584                  0.732              
   850.000                 -1.720                  2.727                  0.684              
   800.000                 -5.005                  1.765                  0.598              
   750.000                 -8.293                  1.066                  0.473              
   700.000                -11.870                  0.637                  0.387              
   650.000                -15.861                  0.414                  0.338              
   600.000                -20.466                  0.285                  0.330              
   550.000                -25.750                  0.185                  0.364              
   500.000                -31.826                  0.145                  0.458              
   450.000                -38.737                  0.117                  0.649              
   400.000                -46.208                  0.067                  0.922              
   350.000                -54.441                  0.037                  1.139              
   300.000                -63.655                  0.014                  1.084              
   250.000                -71.882                  0.005                  0.998              
   200.000                -70.224                  0.001                  0.218              
   150.000                -72.602                  0.001                  0.143              
   100.000                -72.524                  0.001                  0.098              
    80.000                -70.452                  0.001                  0.068              
    60.000                -63.517                  0.001                  0.030              
    40.000                -52.861                  0.001                  0.010              
    30.000                -43.733                  0.001                  0.004              
    25.000                -26.187                  0.001                  0.001              
