 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.993                  2.990                  0.628              
   950.000                 -1.104                  2.831                  0.802              
   900.000                 -4.888                  2.008                  0.726              
   850.000                 -8.446                  1.341                  0.633              
   800.000                -12.099                  0.842                  0.523              
   750.000                -15.870                  0.459                  0.383              
   700.000                -19.892                  0.244                  0.268              
   650.000                -24.366                  0.125                  0.199              
   600.000                -29.254                  0.060                  0.160              
   550.000                -34.625                  0.025                  0.126              
   500.000                -40.665                  0.020                  0.164              
   450.000                -47.329                  0.017                  0.274              
   400.000                -54.644                  0.014                  0.483              
   350.000                -62.728                  0.013                  0.943              
   300.000                -71.309                  0.004                  1.007              
   250.000                -74.969                  0.003                  1.000              
   200.000                -73.595                  0.001                  0.194              
   150.000                -74.149                  0.001                  0.158              
   100.000                -72.280                  0.001                  0.083              
    80.000                -68.804                  0.001                  0.041              
    60.000                -61.052                  0.001                  0.011              
    40.000                -50.760                  0.001                  0.002              
    30.000                -42.489                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
