 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.498                  4.293                  0.649              
   950.000                  3.415                  4.138                  0.818              
   900.000                 -0.028                  3.052                  0.746              
   850.000                 -3.602                  2.279                  0.686              
   800.000                 -7.081                  1.515                  0.560              
   750.000                -10.676                  0.871                  0.407              
   700.000                -14.448                  0.450                  0.290              
   650.000                -18.712                  0.230                  0.218              
   600.000                -23.525                  0.121                  0.178              
   550.000                -28.929                  0.069                  0.167              
   500.000                -34.909                  0.042                  0.209              
   450.000                -41.477                  0.026                  0.378              
   400.000                -48.755                  0.018                  0.607              
   350.000                -56.894                  0.015                  0.656              
   300.000                -65.976                  0.010                  0.997              
   250.000                -73.420                  0.004                  0.998              
   200.000                -71.575                  0.001                  0.150              
   150.000                -72.809                  0.001                  0.132              
   100.000                -72.847                  0.001                  0.091              
    80.000                -71.325                  0.001                  0.059              
    60.000                -66.423                  0.001                  0.022              
    40.000                -59.791                  0.001                  0.006              
    30.000                -55.543                  0.001                  0.003              
    25.000                -49.737                  0.001                  0.001              
