  N levels =   24          CBMF=    10.178     SST=   23.68 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    20.940      12.035378     0.048    0.00       1.969
    950.0    16.740      11.801942     0.051    0.00       1.837
    900.0    14.670       9.084827     0.053    0.00       1.899
    850.0    11.891       7.453300     0.056    0.00       1.652
    800.0     9.151       5.897810     0.057    0.00       1.538
    750.0     6.353       4.615985     0.059    0.00       1.473
    700.0     3.087       3.711109     0.060    0.00       1.436
    650.0    -0.749       2.842491     0.061    0.00       1.459
    600.0    -4.247       1.978748     0.063    0.00       1.500
    550.0    -8.164       1.341137     0.066    0.00       1.581
    500.0   -12.866       1.002522     0.069    0.00       1.738
    450.0   -18.688       0.869687     0.073    0.00       1.902
    400.0   -25.358       0.384490     0.077    0.00       1.792
    350.0   -33.213       0.190346     0.085    0.00       1.582
    300.0   -42.485       0.126203     0.096    0.00       1.365
    250.0   -53.369       0.066149     0.117    0.00       1.094
    200.0   -66.264       0.013942     0.153    0.00       0.735
    150.0   -70.543       0.001000     0.202    0.00       0.158
    100.0   -69.305       0.001000     0.405    0.00      -0.077
     80.0   -67.113       0.001000     0.755    0.00      -0.121
     60.0   -60.218       0.001000     2.042    0.00      -0.259
     40.0   -49.933       0.001000     5.238    0.00      -0.464
     30.0   -41.722       0.001000     8.440    0.00      -0.629
     25.0   -26.640       0.001000    10.124    0.00      -0.930
