 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.526                  4.268                  0.648              
   950.000                  3.433                  4.083                  0.817              
   900.000                 -0.188                  3.257                  0.748              
   850.000                 -3.609                  2.312                  0.686              
   800.000                 -7.110                  1.516                  0.560              
   750.000                -10.702                  0.836                  0.407              
   700.000                -14.465                  0.406                  0.290              
   650.000                -18.734                  0.197                  0.217              
   600.000                -23.507                  0.097                  0.177              
   550.000                -28.832                  0.052                  0.165              
   500.000                -34.747                  0.031                  0.208              
   450.000                -41.315                  0.022                  0.378              
   400.000                -48.631                  0.017                  0.607              
   350.000                -56.795                  0.015                  0.652              
   300.000                -65.906                  0.010                  0.997              
   250.000                -73.455                  0.004                  0.998              
   200.000                -71.573                  0.001                  0.150              
   150.000                -72.806                  0.001                  0.133              
   100.000                -72.847                  0.001                  0.091              
    80.000                -71.326                  0.001                  0.059              
    60.000                -66.423                  0.001                  0.022              
    40.000                -59.790                  0.001                  0.006              
    30.000                -55.542                  0.001                  0.003              
    25.000                -49.737                  0.001                  0.001              
