 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.028                  3.000                  0.630              
   950.000                 -1.070                  2.840                  0.801              
   900.000                 -4.847                  2.022                  0.730              
   850.000                 -8.396                  1.351                  0.642              
   800.000                -12.054                  0.857                  0.530              
   750.000                -15.857                  0.461                  0.389              
   700.000                -19.865                  0.214                  0.275              
   650.000                -24.263                  0.113                  0.207              
   600.000                -29.161                  0.063                  0.171              
   550.000                -34.566                  0.025                  0.141              
   500.000                -40.605                  0.020                  0.180              
   450.000                -47.271                  0.017                  0.302              
   400.000                -54.588                  0.014                  0.524              
   350.000                -62.676                  0.013                  0.938              
   300.000                -71.266                  0.004                  1.006              
   250.000                -74.952                  0.003                  1.000              
   200.000                -73.574                  0.001                  0.191              
   150.000                -74.128                  0.001                  0.155              
   100.000                -72.262                  0.001                  0.084              
    80.000                -68.789                  0.001                  0.043              
    60.000                -61.038                  0.001                  0.012              
    40.000                -50.750                  0.001                  0.003              
    30.000                -42.482                  0.001                  0.001              
    25.000                -26.081                  0.001                  0.000              
