  N levels =   24          CBMF=    19.521     SST=   10.05 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.208       4.148188     0.048    0.00       1.033
    950.0     3.113       3.959285     0.051    0.00       1.315
    900.0    -0.593       3.073673     0.053    0.00       1.364
    850.0    -4.092       2.177362     0.056    0.00       1.459
    800.0    -7.516       1.332186     0.057    0.00       1.607
    750.0   -10.910       0.729298     0.059    0.00       1.613
    700.0   -14.661       0.416583     0.060    0.00       1.492
    650.0   -18.891       0.258729     0.061    0.00       1.317
    600.0   -23.646       0.157889     0.063    0.00       1.094
    550.0   -28.950       0.089472     0.066    0.00       0.860
    500.0   -34.916       0.068635     0.069    0.00       0.744
    450.0   -41.785       0.119998     0.073    0.00       0.741
    400.0   -49.332       0.093636     0.077    0.00       0.622
    350.0   -57.481       0.020937     0.085    0.00       0.487
    300.0   -66.417       0.009170     0.096    0.00       0.259
    250.0   -73.472       0.003837     0.117    0.00       0.018
    200.0   -71.746       0.001000     0.153    0.00       0.014
    150.0   -72.973       0.001000     0.202    0.00      -0.000
    100.0   -72.899       0.001000     0.405    0.00      -0.000
     80.0   -71.242       0.001000     0.755    0.00      -0.003
     60.0   -66.137       0.001000     2.042    0.00      -0.011
     40.0   -59.236       0.001000     5.238    0.00      -0.023
     30.0   -54.699       0.001000     8.440    0.00      -0.030
     25.0   -48.183       0.001000    10.124    0.00      -0.043
