 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.208                  4.148                  0.651              
   950.000                  3.113                  3.959                  0.821              
   900.000                 -0.593                  3.074                  0.753              
   850.000                 -4.092                  2.177                  0.685              
   800.000                 -7.516                  1.332                  0.562              
   750.000                -10.910                  0.729                  0.410              
   700.000                -14.661                  0.417                  0.290              
   650.000                -18.891                  0.259                  0.217              
   600.000                -23.646                  0.158                  0.177              
   550.000                -28.950                  0.089                  0.167              
   500.000                -34.916                  0.069                  0.211              
   450.000                -41.785                  0.120                  0.384              
   400.000                -49.332                  0.094                  0.626              
   350.000                -57.481                  0.021                  0.674              
   300.000                -66.417                  0.009                  0.996              
   250.000                -73.472                  0.004                  0.999              
   200.000                -71.746                  0.001                  0.151              
   150.000                -72.973                  0.001                  0.132              
   100.000                -72.899                  0.001                  0.090              
    80.000                -71.242                  0.001                  0.058              
    60.000                -66.137                  0.001                  0.021              
    40.000                -59.236                  0.001                  0.006              
    30.000                -54.699                  0.001                  0.003              
    25.000                -48.183                  0.001                  0.001              
