 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.454                  7.285                  0.699              
   950.000                 10.311                  7.093                  0.874              
   900.000                  7.404                  5.295                  0.741              
   850.000                  4.079                  4.061                  0.680              
   800.000                  0.714                  2.934                  0.589              
   750.000                 -2.737                  2.007                  0.498              
   700.000                 -6.054                  1.214                  0.373              
   650.000                 -9.705                  0.695                  0.273              
   600.000                -13.862                  0.387                  0.206              
   550.000                -18.671                  0.214                  0.176              
   500.000                -24.211                  0.119                  0.186              
   450.000                -30.530                  0.067                  0.252              
   400.000                -37.698                  0.042                  0.415              
   350.000                -45.861                  0.029                  0.691              
   300.000                -55.218                  0.023                  0.829              
   250.000                -65.934                  0.012                  0.998              
   200.000                -62.284                  0.001                  0.059              
   150.000                -63.805                  0.001                  0.046              
   100.000                -65.868                  0.001                  0.040              
    80.000                -66.603                  0.001                  0.034              
    60.000                -65.470                  0.001                  0.021              
    40.000                -64.933                  0.001                  0.013              
    30.000                -67.682                  0.001                  0.014              
    25.000                -77.306                  0.001                  0.047              
