 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.729                  3.368                  0.633              
   950.000                  0.642                  3.191                  0.800              
   900.000                 -3.176                  2.365                  0.746              
   850.000                 -6.685                  1.611                  0.668              
   800.000                -10.239                  1.021                  0.548              
   750.000                -13.911                  0.587                  0.394              
   700.000                -17.888                  0.329                  0.278              
   650.000                -22.287                  0.168                  0.210              
   600.000                -27.113                  0.095                  0.174              
   550.000                -32.466                  0.042                  0.159              
   500.000                -38.423                  0.026                  0.193              
   450.000                -45.165                  0.026                  0.343              
   400.000                -52.583                  0.022                  0.603              
   350.000                -60.715                  0.015                  0.778              
   300.000                -69.607                  0.006                  1.004              
   250.000                -74.217                  0.003                  0.999              
   200.000                -72.974                  0.001                  0.180              
   150.000                -74.008                  0.001                  0.155              
   100.000                -73.085                  0.001                  0.094              
    80.000                -70.513                  0.001                  0.054              
    60.000                -64.080                  0.001                  0.017              
    40.000                -55.441                  0.001                  0.004              
    30.000                -48.967                  0.001                  0.001              
    25.000                -37.497                  0.001                  0.000              
