  N levels =   24          CBMF=    21.559     SST=    6.49 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.004       2.994709     0.048    0.00       0.925
    950.0    -1.093       2.835045     0.051    0.00       1.426
    900.0    -4.876       2.016311     0.053    0.00       1.445
    850.0    -8.430       1.348843     0.056    0.00       1.514
    800.0   -12.091       0.851833     0.057    0.00       1.611
    750.0   -15.877       0.445641     0.059    0.00       1.591
    700.0   -19.864       0.220772     0.060    0.00       1.491
    650.0   -24.301       0.119251     0.061    0.00       1.340
    600.0   -29.204       0.065061     0.063    0.00       1.141
    550.0   -34.604       0.025385     0.066    0.00       0.763
    500.0   -40.641       0.019614     0.069    0.00       0.611
    450.0   -47.306       0.016656     0.073    0.00       0.565
    400.0   -54.622       0.014283     0.077    0.00       0.450
    350.0   -62.705       0.013094     0.085    0.00       0.410
    300.0   -71.289       0.004466     0.096    0.00       0.129
    250.0   -74.959       0.003056     0.117    0.00       0.042
    200.0   -73.585       0.001000     0.153    0.00       0.021
    150.0   -74.139       0.001000     0.202    0.00       0.002
    100.0   -72.272       0.001000     0.405    0.00      -0.001
     80.0   -68.797       0.001000     0.755    0.00      -0.007
     60.0   -61.046       0.001000     2.042    0.00      -0.020
     40.0   -50.755       0.001000     5.238    0.00      -0.037
     30.0   -42.486       0.001000     8.440    0.00      -0.051
     25.0   -26.080       0.001000    10.124    0.00      -0.080
