  N levels =   24          CBMF=    21.127     SST=    7.11 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.700       3.185797     0.048    0.00       1.438
    950.0    -0.400       3.026128     0.051    0.00       1.389
    900.0    -4.138       2.185754     0.053    0.00       1.587
    850.0    -7.672       1.473519     0.056    0.00       1.568
    800.0   -11.269       0.925201     0.057    0.00       1.656
    750.0   -14.999       0.520731     0.059    0.00       1.650
    700.0   -19.018       0.267278     0.060    0.00       1.601
    650.0   -23.416       0.126781     0.061    0.00       1.509
    600.0   -28.253       0.078487     0.063    0.00       1.393
    550.0   -33.648       0.034900     0.066    0.00       1.239
    500.0   -39.653       0.022041     0.069    0.00       1.186
    450.0   -46.325       0.019242     0.073    0.00       1.234
    400.0   -53.649       0.016149     0.077    0.00       1.195
    350.0   -61.739       0.014550     0.085    0.00       1.154
    300.0   -70.514       0.005029     0.096    0.00       0.911
    250.0   -74.456       0.003306     0.117    0.00       0.764
    200.0   -72.571       0.001000     0.153    0.00       0.527
    150.0   -73.055       0.001000     0.202    0.00       0.339
    100.0   -71.348       0.001000     0.405    0.00       0.084
     80.0   -68.062       0.001000     0.755    0.00      -0.010
     60.0   -60.492       0.001000     2.042    0.00      -0.025
     40.0   -50.368       0.001000     5.238    0.00      -0.045
     30.0   -42.267       0.001000     8.440    0.00      -0.062
     25.0   -26.134       0.001000    10.124    0.00      -0.094
