 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  8.495                  4.577                  0.751              
   950.000                  4.393                  4.404                  0.932              
   900.000                  0.850                  3.299                  0.788              
   850.000                 -2.800                  2.507                  0.745              
   800.000                 -6.164                  1.563                  0.679              
   750.000                 -9.499                  0.896                  0.605              
   700.000                -13.172                  0.499                  0.542              
   650.000                -17.226                  0.279                  0.489              
   600.000                -21.803                  0.191                  0.445              
   550.000                -27.030                  0.124                  0.420              
   500.000                -33.017                  0.097                  0.424              
   450.000                -39.909                  0.151                  0.463              
   400.000                -47.526                  0.117                  0.493              
   350.000                -55.721                  0.028                  0.533              
   300.000                -64.727                  0.012                  0.571              
   250.000                -72.367                  0.005                  0.694              
   200.000                -69.036                  0.001                  0.454              
   150.000                -69.264                  0.001                  0.412              
   100.000                -67.902                  0.001                  0.289              
    80.000                -64.973                  0.001                  0.021              
    60.000                -57.902                  0.001                  0.007              
    40.000                -48.433                  0.001                  0.002              
    30.000                -41.040                  0.001                  0.001              
    25.000                -26.450                  0.001                  0.000              
