  N levels =   24          CBMF=    21.324     SST=    6.58 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.117       3.022196     0.048    0.00       1.231
    950.0    -0.980       2.863361     0.051    0.00       1.491
    900.0    -4.749       2.035165     0.053    0.00       1.565
    850.0    -8.295       1.353467     0.056    0.00       1.564
    800.0   -11.934       0.851359     0.057    0.00       1.632
    750.0   -15.719       0.476173     0.059    0.00       1.613
    700.0   -19.745       0.252380     0.060    0.00       1.533
    650.0   -24.208       0.128476     0.061    0.00       1.422
    600.0   -29.092       0.061621     0.063    0.00       1.275
    550.0   -34.457       0.026157     0.066    0.00       1.018
    500.0   -40.491       0.020042     0.069    0.00       0.924
    450.0   -47.155       0.017085     0.073    0.00       0.934
    400.0   -54.468       0.014546     0.077    0.00       0.859
    350.0   -62.556       0.013677     0.085    0.00       0.808
    300.0   -71.162       0.004569     0.096    0.00       0.516
    250.0   -74.898       0.003086     0.117    0.00       0.374
    200.0   -73.455       0.001000     0.153    0.00       0.225
    150.0   -73.996       0.001000     0.202    0.00       0.112
    100.0   -72.154       0.001000     0.405    0.00       0.005
     80.0   -68.714       0.001000     0.755    0.00      -0.007
     60.0   -60.989       0.001000     2.042    0.00      -0.020
     40.0   -50.715       0.001000     5.238    0.00      -0.037
     30.0   -42.461       0.001000     8.440    0.00      -0.051
     25.0   -26.086       0.001000    10.124    0.00      -0.079
