  N levels =   24          CBMF=    11.166     SST=   20.88 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    18.120       9.831429     0.048    0.00       1.847
    950.0    13.950       9.602128     0.051    0.00       1.814
    900.0    11.571       7.183973     0.053    0.00       1.777
    850.0     8.592       5.706267     0.056    0.00       1.558
    800.0     5.579       4.443346     0.057    0.00       1.474
    750.0     2.371       3.415141     0.059    0.00       1.429
    700.0    -1.122       2.484270     0.060    0.00       1.442
    650.0    -4.387       1.642448     0.061    0.00       1.457
    600.0    -8.031       1.043762     0.063    0.00       1.467
    550.0   -12.268       0.660822     0.066    0.00       1.478
    500.0   -17.376       0.456430     0.069    0.00       1.543
    450.0   -23.572       0.354138     0.073    0.00       1.639
    400.0   -30.765       0.223960     0.077    0.00       1.498
    350.0   -38.970       0.142749     0.085    0.00       1.315
    300.0   -48.361       0.056763     0.096    0.00       1.127
    250.0   -59.330       0.029647     0.117    0.00       0.942
    200.0   -69.988       0.005485     0.153    0.00       0.413
    150.0   -69.051       0.001000     0.202    0.00       0.076
    100.0   -69.531       0.001000     0.405    0.00      -0.072
     80.0   -67.946       0.001000     0.755    0.00      -0.104
     60.0   -60.912       0.001000     2.042    0.00      -0.245
     40.0   -50.511       0.001000     5.238    0.00      -0.453
     30.0   -42.121       0.001000     8.440    0.00      -0.621
     25.0   -26.552       0.001000    10.124    0.00      -0.932
