 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 18.120                  9.831                  0.766              
   950.000                 13.950                  9.602                  0.952              
   900.000                 11.571                  7.184                  0.781              
   850.000                  8.592                  5.706                  0.724              
   800.000                  5.579                  4.443                  0.654              
   750.000                  2.371                  3.415                  0.591              
   700.000                 -1.122                  2.484                  0.552              
   650.000                 -4.387                  1.642                  0.519              
   600.000                 -8.031                  1.044                  0.478              
   550.000                -12.268                  0.661                  0.440              
   500.000                -17.376                  0.456                  0.447              
   450.000                -23.572                  0.354                  0.464              
   400.000                -30.765                  0.224                  0.439              
   350.000                -38.970                  0.143                  0.498              
   300.000                -48.361                  0.057                  0.716              
   250.000                -59.330                  0.030                  1.138              
   200.000                -69.988                  0.005                  0.932              
   150.000                -69.051                  0.001                  0.191              
   100.000                -69.531                  0.001                  0.076              
    80.000                -67.946                  0.001                  0.056              
    60.000                -60.912                  0.001                  0.025              
    40.000                -50.511                  0.001                  0.008              
    30.000                -42.121                  0.001                  0.004              
    25.000                -26.552                  0.001                  0.001              
