 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.972                  2.986                  0.642              
   950.000                 -1.126                  2.826                  0.817              
   900.000                 -4.911                  2.010                  0.732              
   850.000                 -8.467                  1.344                  0.645              
   800.000                -12.128                  0.850                  0.538              
   750.000                -15.920                  0.447                  0.403              
   700.000                -19.913                  0.217                  0.292              
   650.000                -24.341                  0.116                  0.222              
   600.000                -29.239                  0.064                  0.180              
   550.000                -34.639                  0.025                  0.146              
   500.000                -40.675                  0.019                  0.179              
   450.000                -47.340                  0.016                  0.285              
   400.000                -54.656                  0.014                  0.476              
   350.000                -62.742                  0.013                  0.873              
   300.000                -71.327                  0.004                  0.967              
   250.000                -74.968                  0.003                  1.020              
   200.000                -73.597                  0.001                  0.233              
   150.000                -74.152                  0.001                  0.144              
   100.000                -72.283                  0.001                  0.073              
    80.000                -68.807                  0.001                  0.037              
    60.000                -61.056                  0.001                  0.010              
    40.000                -50.764                  0.001                  0.002              
    30.000                -42.492                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
