  N levels =   24          CBMF=    16.652     SST=   11.69 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     8.747       4.679415     0.048    0.00       1.086
    950.0     4.646       4.518157     0.051    0.00       1.351
    900.0     1.200       3.406093     0.053    0.00       1.324
    850.0    -2.410       2.598529     0.056    0.00       1.363
    800.0    -5.808       1.684854     0.057    0.00       1.493
    750.0    -9.218       0.955379     0.059    0.00       1.485
    700.0   -12.959       0.509127     0.060    0.00       1.383
    650.0   -17.156       0.261832     0.061    0.00       1.243
    600.0   -21.859       0.132940     0.063    0.00       1.092
    550.0   -27.117       0.069285     0.066    0.00       0.932
    500.0   -32.982       0.039217     0.069    0.00       0.857
    450.0   -39.536       0.026577     0.073    0.00       0.830
    400.0   -46.875       0.021315     0.077    0.00       0.737
    350.0   -55.081       0.018719     0.085    0.00       0.612
    300.0   -64.268       0.012204     0.096    0.00       0.420
    250.0   -72.424       0.004520     0.117    0.00       0.255
    200.0   -71.110       0.001000     0.153    0.00       0.038
    150.0   -73.186       0.001000     0.202    0.00       0.001
    100.0   -73.377       0.001000     0.405    0.00       0.005
     80.0   -71.782       0.001000     0.755    0.00      -0.027
     60.0   -65.901       0.001000     2.042    0.00      -0.145
     40.0   -56.927       0.001000     5.238    0.00      -0.324
     30.0   -49.790       0.001000     8.440    0.00      -0.467
     25.0   -37.395       0.001000    10.124    0.00      -0.715
